date, pm25, pm10, o3, no2, so2, co
2022-02-01,82,40,20,3, , 
2022-02-02,75,38,23,3, , 
2022-02-03,75,39,24,2, , 
2022-02-04,87,37,19,1, , 
2022-02-05,83,30,21, , , 
2022-02-06,75,29,16,2, , 
2022-02-07,63,31,24,3, , 
2022-02-08,60,35,23,3, , 
2022-02-09,68,27,6,2, , 
2022-01-03,73,37,25,3, , 
2022-01-04,73,35,23,3, , 
2022-01-05,72,34,23,3, , 
2022-01-06,65,37,23,2, , 
2022-01-07,73,38,24,2, , 
2022-01-08,81,33,22,2, , 
2022-01-09,67,35,23,3, , 
2022-01-10,68,34,21,3, , 
2022-01-11,67,47,27,3, , 
2022-01-12,89,50,25,3, , 
2022-01-13,95,49,27,4, , 
2022-01-14,97,49,30,1, , 
2022-01-15,100,30,16, , , 
2022-01-16,76,28,19,2,8, 
2022-01-17,63,34,22,1, , 
2022-01-18,78,37,23,2, , 
2022-01-19,86,34,23,1, , 
2022-01-20,77,33,19,3, , 
2022-01-21,77,29,17,2, , 
2022-01-22,64,31,21,2, , 
2022-01-23,69,36,21,2, , 
2022-01-24,74,35,21,3, , 
2022-01-25,74,35,21,3, , 
2022-01-26,71,38,22,4, , 
2022-01-27,72,35,23,4, , 
2022-01-28,72,32,19,2, , 
2022-01-29,68,39,23,2, , 
2022-01-30,77,44,25,3, , 
2022-01-31,81,46,22,4, , 
2021-10-01,57,23,13, , , 
2021-10-02,52,23,18, , , 
2021-10-03,51,24,16, , , 
2021-10-04,55,27,18, , , 
2021-10-05,58,26,15, , , 
2021-10-06,57,28,18, , , 
2021-10-07,62,31,24, , , 
2021-10-08,65,32,26, , , 
2021-10-09,74,32,18, , , 
2021-10-10,76,23,10, , , 
2021-10-11,55,18,8, , , 
2021-10-12,45,21,10, , , 
2021-10-13,46,27,11, , , 
2021-10-14,60,19,10, , , 
2021-10-15,49,15,7, , , 
2021-10-16,36,16,9, , , 
2021-10-17,40,23,12, , , 
2021-10-18,48,21, , , , 
2021-10-19,51,25, , , , 
2021-10-20,55,23, , , , 
2021-10-21,49,21, , , , 
2021-10-22,45,22,4, , , 
2021-10-23,51,18,7, , , 
2021-10-24,41,26,9, , , 
2021-10-25,57,29,11, , , 
2021-10-26,63,33,15, , , 
2021-10-27,73,23, , , , 
2021-10-28,54,27,4, , , 
2021-10-29,63,22,5, , , 
